ID,title,description,category,provider_name,provider_phone,provider_email,address,price,district,pincode,city,state,room_type,occupancy,gender_preference,food_included,is_furnished,amenities,avaibility,rating,review_count,is_active,created_by,created_at,updated_at
24,Hyderabad PG Accommodation 4,Affordable PG in Hyderabad with basic amenities and good connectivity.,pg,Mrs. Das,9829278621,pg_4_hyderabad@example.com,15 Hyderabad Main Road,7213,Hyderabad,500001,Hyderabad,Telangana,Double,3,Any,FALSE,TRUE,"parking,laundry,cctv,meals",TRUE,3.7,27,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
25,Bangalore PG Accommodation 5,Affordable PG in Bangalore with basic amenities and good connectivity.,pg,Mr. Sharma,9847438064,pg_5_bangalore@example.com,98 Bangalore Main Road,11707,Bangalore,560001,Bangalore,Karnataka,Single,3,Male,FALSE,TRUE,"cctv,laundry,wifi,meals",TRUE,3.7,26,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
26,Ahmedabad PG Accommodation 6,Affordable PG in Ahmedabad with basic amenities and good connectivity.,pg,Mr. Sharma,9863580685,pg_6_ahmedabad@example.com,71 Ahmedabad Main Road,7644,Ahmedabad,380001,Ahmedabad,Gujarat,Double,3,Any,FALSE,FALSE,"cctv,wifi,parking,laundry",TRUE,4.5,15,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
27,Chennai PG Accommodation 7,Affordable PG in Chennai with basic amenities and good connectivity.,pg,Mrs. Nair,9884321295,pg_7_chennai@example.com,177 Chennai Main Road,11629,Chennai,600001,Chennai,Tamil Nadu,Double,2,Male,TRUE,TRUE,"parking,meals,laundry,wifi",TRUE,4.6,35,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
28,Kolkata PG Accommodation 8,Affordable PG in Kolkata with basic amenities and good connectivity.,pg,Mr. Reddy,9886520297,pg_8_kolkata@example.com,196 Kolkata Main Road,9599,Kolkata,700001,Kolkata,West Bengal,Single,1,Male,TRUE,FALSE,"study_table,parking,meals,wifi",TRUE,4.2,42,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
29,Ahmedabad PG Accommodation 9,Affordable PG in Ahmedabad with basic amenities and good connectivity.,pg,Mr. Singh,9815109802,pg_9_ahmedabad@example.com,102 Ahmedabad Main Road,6052,Ahmedabad,380001,Ahmedabad,Gujarat,Double,3,Male,TRUE,FALSE,"study_table,meals,cctv,wifi",TRUE,4,27,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
30,Bangalore PG Accommodation 10,Affordable PG in Bangalore with basic amenities and good connectivity.,pg,Mr. Singh,9872593798,pg_10_bangalore@example.com,80 Bangalore Main Road,10183,Bangalore,560001,Bangalore,Karnataka,Double,2,Female,TRUE,FALSE,"cctv,study_table,laundry,wifi",TRUE,4.8,45,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
31,Mumbai PG Accommodation 11,Affordable PG in Mumbai with basic amenities and good connectivity.,pg,Mr. Singh,9894930746,pg_11_mumbai@example.com,101 Mumbai Main Road,6362,Mumbai,400001,Mumbai,Maharashtra,Double,3,Any,FALSE,TRUE,"meals,laundry,wifi,cctv",TRUE,4.3,8,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
32,Mumbai PG Accommodation 12,Affordable PG in Mumbai with basic amenities and good connectivity.,pg,Mr. Reddy,9845181877,pg_12_mumbai@example.com,197 Mumbai Main Road,10480,Mumbai,400001,Mumbai,Maharashtra,Double,1,Any,TRUE,TRUE,"cctv,laundry,wifi,meals",TRUE,4,20,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
33,Hyderabad PG Accommodation 13,Affordable PG in Hyderabad with basic amenities and good connectivity.,pg,Ms. Gupta,9817040566,pg_13_hyderabad@example.com,161 Hyderabad Main Road,6778,Hyderabad,500001,Hyderabad,Telangana,Single,1,Male,FALSE,FALSE,"cctv,meals,parking,laundry",TRUE,3.8,23,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
34,Mumbai PG Accommodation 14,Affordable PG in Mumbai with basic amenities and good connectivity.,pg,Mr. Sharma,9875101196,pg_14_mumbai@example.com,179 Mumbai Main Road,11984,Mumbai,400001,Mumbai,Maharashtra,Single,1,Any,TRUE,TRUE,"wifi,laundry,meals,study_table",TRUE,3.8,48,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
35,Hyderabad PG Accommodation 15,Affordable PG in Hyderabad with basic amenities and good connectivity.,pg,Mr. Iyer,9828927050,pg_15_hyderabad@example.com,55 Hyderabad Main Road,11583,Hyderabad,500001,Hyderabad,Telangana,Double,1,Any,FALSE,TRUE,"wifi,parking,study_table,meals",TRUE,4.6,36,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
36,Chennai PG Accommodation 16,Affordable PG in Chennai with basic amenities and good connectivity.,pg,Mr. Iyer,9810910895,pg_16_chennai@example.com,189 Chennai Main Road,7643,Chennai,600001,Chennai,Tamil Nadu,Single,2,Any,FALSE,TRUE,"cctv,laundry,wifi,parking",TRUE,4.1,9,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
37,Delhi PG Accommodation 17,Affordable PG in Delhi with basic amenities and good connectivity.,pg,Mr. Mehta,9814556268,pg_17_delhi@example.com,96 Delhi Main Road,8654,Delhi,110001,Delhi,Delhi,Single,2,Male,FALSE,TRUE,"laundry,meals,wifi,parking",TRUE,4.8,39,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
38,Hyderabad PG Accommodation 18,Affordable PG in Hyderabad with basic amenities and good connectivity.,pg,Mrs. Das,9860193385,pg_18_hyderabad@example.com,93 Hyderabad Main Road,7389,Hyderabad,500001,Hyderabad,Telangana,Triple,1,Male,TRUE,TRUE,"wifi,cctv,meals,laundry",TRUE,4,10,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
39,Hyderabad PG Accommodation 19,Affordable PG in Hyderabad with basic amenities and good connectivity.,pg,Mr. Singh,9863977786,pg_19_hyderabad@example.com,161 Hyderabad Main Road,7181,Hyderabad,500001,Hyderabad,Telangana,Triple,2,Any,TRUE,FALSE,"parking,study_table,laundry,wifi",TRUE,4.6,35,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
40,Bangalore PG Accommodation 20,Affordable PG in Bangalore with basic amenities and good connectivity.,pg,Mr. Singh,9840206061,pg_20_bangalore@example.com,158 Bangalore Main Road,10634,Bangalore,560001,Bangalore,Karnataka,Triple,3,Any,TRUE,FALSE,"wifi,meals,study_table,cctv",TRUE,4.7,41,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
41,Delhi Mess Service 1,Tasty and hygienic mess service in Delhi.,mess,Mrs. Nair,9939267805,mess_1_delhi@example.com,186 Delhi Street,2933,Delhi,110001,Delhi,Delhi,,0,Any,TRUE,FALSE,"veg_meals,delivery,snacks",TRUE,4.7,83,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
42,Pune Mess Service 2,Tasty and hygienic mess service in Pune.,mess,Mr. Iyer,9949193556,mess_2_pune@example.com,198 Pune Street,2817,Pune,411001,Pune,Maharashtra,,0,Any,TRUE,FALSE,"snacks,tiffin,delivery",TRUE,4.4,51,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
43,Kolkata Mess Service 3,Tasty and hygienic mess service in Kolkata.,mess,Mrs. Nair,9952140140,mess_3_kolkata@example.com,181 Kolkata Street,4987,Kolkata,700001,Kolkata,West Bengal,,0,Any,TRUE,FALSE,"delivery,snacks,tiffin",TRUE,4.6,28,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
44,Hyderabad Mess Service 4,Tasty and hygienic mess service in Hyderabad.,mess,Mr. Sharma,9940894753,mess_4_hyderabad@example.com,139 Hyderabad Street,3159,Hyderabad,500001,Hyderabad,Telangana,,0,Any,TRUE,FALSE,"delivery,tiffin,nonveg_meals",TRUE,4.7,44,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
45,Ahmedabad Mess Service 5,Tasty and hygienic mess service in Ahmedabad.,mess,Mr. Mehta,9953296792,mess_5_ahmedabad@example.com,87 Ahmedabad Street,5026,Ahmedabad,380001,Ahmedabad,Gujarat,,0,Any,TRUE,FALSE,"snacks,tiffin,nonveg_meals",TRUE,4.3,67,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
46,Kolkata Mess Service 6,Tasty and hygienic mess service in Kolkata.,mess,Mr. Patel,9977614084,mess_6_kolkata@example.com,117 Kolkata Street,5629,Kolkata,700001,Kolkata,West Bengal,,0,Any,TRUE,FALSE,"tiffin,nonveg_meals,delivery",TRUE,4.7,62,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
47,Delhi Mess Service 7,Tasty and hygienic mess service in Delhi.,mess,Ms. Gupta,9933556305,mess_7_delhi@example.com,31 Delhi Street,5770,Delhi,110001,Delhi,Delhi,,0,Any,TRUE,FALSE,"delivery,tiffin,veg_meals",TRUE,4.6,35,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
48,Mumbai Mess Service 8,Tasty and hygienic mess service in Mumbai.,mess,Mr. Reddy,9960870347,mess_8_mumbai@example.com,150 Mumbai Street,3601,Mumbai,400001,Mumbai,Maharashtra,,0,Any,TRUE,FALSE,"tiffin,snacks,nonveg_meals",TRUE,3.7,47,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
49,Mumbai Mess Service 9,Tasty and hygienic mess service in Mumbai.,mess,Mr. Patel,9998626363,mess_9_mumbai@example.com,83 Mumbai Street,2634,Mumbai,400001,Mumbai,Maharashtra,,0,Any,TRUE,FALSE,"delivery,snacks,nonveg_meals",TRUE,3.9,61,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
50,Bangalore Mess Service 10,Tasty and hygienic mess service in Bangalore.,mess,Mr. Patel,9926502844,mess_10_bangalore@example.com,176 Bangalore Street,5389,Bangalore,560001,Bangalore,Karnataka,,0,Any,TRUE,FALSE,"tiffin,delivery,veg_meals",TRUE,3.8,11,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
51,Kolkata Mess Service 11,Tasty and hygienic mess service in Kolkata.,mess,Mr. Iyer,9971721082,mess_11_kolkata@example.com,32 Kolkata Street,4659,Kolkata,700001,Kolkata,West Bengal,,0,Any,TRUE,FALSE,"nonveg_meals,tiffin,delivery",TRUE,3.6,89,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
52,Hyderabad Mess Service 12,Tasty and hygienic mess service in Hyderabad.,mess,Mr. Mehta,9928499566,mess_12_hyderabad@example.com,130 Hyderabad Street,3553,Hyderabad,500001,Hyderabad,Telangana,,0,Any,TRUE,FALSE,"veg_meals,tiffin,nonveg_meals",TRUE,3.9,47,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
53,Hyderabad Mess Service 13,Tasty and hygienic mess service in Hyderabad.,mess,Mr. Singh,9916415148,mess_13_hyderabad@example.com,89 Hyderabad Street,5171,Hyderabad,500001,Hyderabad,Telangana,,0,Any,TRUE,FALSE,"nonveg_meals,delivery,tiffin",TRUE,3.8,84,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
54,Ahmedabad Mess Service 14,Tasty and hygienic mess service in Ahmedabad.,mess,Mr. Singh,9954422971,mess_14_ahmedabad@example.com,185 Ahmedabad Street,5634,Ahmedabad,380001,Ahmedabad,Gujarat,,0,Any,TRUE,FALSE,"tiffin,nonveg_meals,veg_meals",TRUE,3.7,45,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
55,Ahmedabad Mess Service 15,Tasty and hygienic mess service in Ahmedabad.,mess,Mrs. Nair,9984513429,mess_15_ahmedabad@example.com,149 Ahmedabad Street,3170,Ahmedabad,380001,Ahmedabad,Gujarat,,0,Any,TRUE,FALSE,"veg_meals,snacks,tiffin",TRUE,3.7,78,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
56,Ahmedabad Mess Service 16,Tasty and hygienic mess service in Ahmedabad.,mess,Mr. Sharma,9978371038,mess_16_ahmedabad@example.com,66 Ahmedabad Street,2711,Ahmedabad,380001,Ahmedabad,Gujarat,,0,Any,TRUE,FALSE,"snacks,nonveg_meals,delivery",TRUE,3.5,57,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
57,Ahmedabad Mess Service 17,Tasty and hygienic mess service in Ahmedabad.,mess,Mr. Mehta,9914739123,mess_17_ahmedabad@example.com,117 Ahmedabad Street,3080,Ahmedabad,380001,Ahmedabad,Gujarat,,0,Any,TRUE,FALSE,"nonveg_meals,delivery,snacks",TRUE,4.6,76,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
58,Chennai Mess Service 18,Tasty and hygienic mess service in Chennai.,mess,Ms. Gupta,9917603403,mess_18_chennai@example.com,58 Chennai Street,4668,Chennai,600001,Chennai,Tamil Nadu,,0,Any,TRUE,FALSE,"veg_meals,snacks,nonveg_meals",TRUE,3.9,91,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
59,Delhi Mess Service 19,Tasty and hygienic mess service in Delhi.,mess,Mrs. Das,9991946643,mess_19_delhi@example.com,14 Delhi Street,5958,Delhi,110001,Delhi,Delhi,,0,Any,TRUE,FALSE,"delivery,snacks,tiffin",TRUE,3.8,84,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
60,Ahmedabad Mess Service 20,Tasty and hygienic mess service in Ahmedabad.,mess,Mrs. Das,9920688303,mess_20_ahmedabad@example.com,148 Ahmedabad Street,3748,Ahmedabad,380001,Ahmedabad,Gujarat,,0,Any,TRUE,FALSE,"nonveg_meals,delivery,tiffin",TRUE,3.9,81,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
61,Jaipur Tiffin Service 1,"Healthy and hygienic tiffin service in Jaipur, delivering meals daily.",tiffin,Mrs. Nair,9766266175,tiffin_1_jaipur@example.com,170 Jaipur Food Street,2822,Jaipur,302001,Jaipur,Rajasthan,N/A,0,Any,TRUE,FALSE,"weekly_menu,delivery,veg_meals",TRUE,4.4,82,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
62,Bangalore Tiffin Service 2,"Healthy and hygienic tiffin service in Bangalore, delivering meals daily.",tiffin,Mrs. Das,9750138817,tiffin_2_bangalore@example.com,181 Bangalore Food Street,5013,Bangalore,560001,Bangalore,Karnataka,N/A,0,Any,TRUE,FALSE,"delivery,nonveg_meals,weekly_menu",TRUE,4.7,109,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
63,Chandigarh Tiffin Service 3,"Healthy and hygienic tiffin service in Chandigarh, delivering meals daily.",tiffin,Mrs. Kapoor,9749111422,tiffin_3_chandigarh@example.com,279 Chandigarh Food Street,5307,Chandigarh,160017,Chandigarh,Chandigarh,N/A,0,Any,TRUE,FALSE,"veg_meals,weekly_menu,delivery",TRUE,4.6,197,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
64,Jaipur Tiffin Service 4,"Healthy and hygienic tiffin service in Jaipur, delivering meals daily.",tiffin,Mrs. Kapoor,9783133617,tiffin_4_jaipur@example.com,116 Jaipur Food Street,6266,Jaipur,302001,Jaipur,Rajasthan,N/A,0,Any,TRUE,FALSE,"veg_meals,delivery,nonveg_meals",TRUE,4.9,199,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
65,Kolkata Tiffin Service 5,"Healthy and hygienic tiffin service in Kolkata, delivering meals daily.",tiffin,Mr. Patel,9766077964,tiffin_5_kolkata@example.com,29 Kolkata Food Street,2519,Kolkata,700001,Kolkata,West Bengal,N/A,0,Any,TRUE,FALSE,"nonveg_meals,delivery,weekly_menu",TRUE,4.2,40,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
66,Pune Tiffin Service 6,"Healthy and hygienic tiffin service in Pune, delivering meals daily.",tiffin,Ms. Gupta,9786353007,tiffin_6_pune@example.com,213 Pune Food Street,4295,Pune,411001,Pune,Maharashtra,N/A,0,Any,TRUE,FALSE,"snacks,delivery,weekly_menu",TRUE,4.8,74,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
67,Mumbai Tiffin Service 7,"Healthy and hygienic tiffin service in Mumbai, delivering meals daily.",tiffin,Mrs. Nair,9799179460,tiffin_7_mumbai@example.com,60 Mumbai Food Street,4736,Mumbai,400001,Mumbai,Maharashtra,N/A,0,Any,TRUE,FALSE,"veg_meals,weekly_menu,nonveg_meals",TRUE,4.6,81,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
68,Indore Tiffin Service 8,"Healthy and hygienic tiffin service in Indore, delivering meals daily.",tiffin,Ms. Gupta,9732422749,tiffin_8_indore@example.com,125 Indore Food Street,2721,Indore,452001,Indore,Madhya Pradesh,N/A,0,Any,TRUE,FALSE,"weekly_menu,tiffin,delivery",TRUE,4.2,55,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
69,Chandigarh Tiffin Service 9,"Healthy and hygienic tiffin service in Chandigarh, delivering meals daily.",tiffin,Ms. Gupta,9730381550,tiffin_9_chandigarh@example.com,188 Chandigarh Food Street,2898,Chandigarh,160017,Chandigarh,Chandigarh,N/A,0,Any,TRUE,FALSE,"tiffin,veg_meals,weekly_menu",TRUE,4.8,70,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
70,Ahmedabad Tiffin Service 10,"Healthy and hygienic tiffin service in Ahmedabad, delivering meals daily.",tiffin,Mr. Reddy,9727674225,tiffin_10_ahmedabad@example.com,108 Ahmedabad Food Street,6278,Ahmedabad,380001,Ahmedabad,Gujarat,N/A,0,Any,TRUE,FALSE,"tiffin,snacks,delivery",TRUE,4,141,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
71,Pune Tiffin Service 11,"Healthy and hygienic tiffin service in Pune, delivering meals daily.",tiffin,Mr. Banerjee,9752510255,tiffin_11_pune@example.com,104 Pune Food Street,6909,Pune,411001,Pune,Maharashtra,N/A,0,Any,TRUE,FALSE,"delivery,veg_meals,snacks",TRUE,4.5,58,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
72,Indore Tiffin Service 12,"Healthy and hygienic tiffin service in Indore, delivering meals daily.",tiffin,Mrs. Das,9770400173,tiffin_12_indore@example.com,63 Indore Food Street,6198,Indore,452001,Indore,Madhya Pradesh,N/A,0,Any,TRUE,FALSE,"snacks,tiffin,delivery",TRUE,4.1,167,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
73,Indore Tiffin Service 13,"Healthy and hygienic tiffin service in Indore, delivering meals daily.",tiffin,Mr. Mehta,9777148539,tiffin_13_indore@example.com,211 Indore Food Street,4136,Indore,452001,Indore,Madhya Pradesh,N/A,0,Any,TRUE,FALSE,"snacks,delivery,veg_meals",TRUE,4.7,177,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
74,Delhi Tiffin Service 14,"Healthy and hygienic tiffin service in Delhi, delivering meals daily.",tiffin,Mr. Mehta,9719043300,tiffin_14_delhi@example.com,230 Delhi Food Street,6655,Delhi,110001,Delhi,Delhi,N/A,0,Any,TRUE,FALSE,"veg_meals,snacks,tiffin",TRUE,4.3,12,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
75,Chandigarh Tiffin Service 15,"Healthy and hygienic tiffin service in Chandigarh, delivering meals daily.",tiffin,Mr. Sharma,9729366456,tiffin_15_chandigarh@example.com,229 Chandigarh Food Street,2541,Chandigarh,160017,Chandigarh,Chandigarh,N/A,0,Any,TRUE,FALSE,"weekly_menu,veg_meals,delivery",TRUE,3.9,125,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
76,Kolkata Tiffin Service 16,"Healthy and hygienic tiffin service in Kolkata, delivering meals daily.",tiffin,Mrs. Kapoor,9765795376,tiffin_16_kolkata@example.com,70 Kolkata Food Street,4160,Kolkata,700001,Kolkata,West Bengal,N/A,0,Any,TRUE,FALSE,"delivery,snacks,weekly_menu",TRUE,4.4,15,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
